name,data_type,is_nullable,description
id,string,false,
timestamp,timestamp,false,
date,timestamp,false,
country_id,string,false,
school_id_gov,string,false,
school_id_giga,string,false,
speed_download,float,true,
speed_upload,float,true,
roundtrip_time,float,true,
jitter_download,float,true,
jitter_upload,float,true,
rtt_packet_loss_pct,float,true,
latency,float,true,
provider,string,true,
ip_family,integer,true,
report_id,string,true,
agent_id,string,true,
